PrimaryKey,RunID,StockID,Age,TimeStep,Cohort,MatureCohort,StartCohort,WorkingCohort,MidCohort,Shelton.TimeStep,Year.run,Season.run,Year.Season.run,Species,StockVersion,ProductionRegionNumber,ManagementUnitNumber,StockName,StockLongName
3409072,31,3,3,3,34.693934,17.72063,127.77169,116.872765,52.414564,2,1991,.Sum,1991.Sum,CHINOOK,5,1,5,U-NK SP Nat,UnMarked Nooksack Spr Natural
3409073,31,3,3,4,132.119884,0,193.083247,156.822213,132.119884,3,1991,.Fall,1991.Fall,CHINOOK,5,1,5,U-NK SP Nat,UnMarked Nooksack Spr Natural
3409075,31,3,4,2,98.057811,2.488316,108.682037,104.715142,100.546126,1,1991,.Spr,1991.Spr,CHINOOK,5,1,5,U-NK SP Nat,UnMarked Nooksack Spr Natural
3409076,31,3,4,3,3.467897,78.438039,98.057811,92.733272,81.905937,2,1991,.Sum,1991.Sum,CHINOOK,5,1,5,U-NK SP Nat,UnMarked Nooksack Spr Natural
3409077,31,3,4,4,22.713139,0,34.693934,30.457804,22.713139,3,1991,.Fall,1991.Fall,CHINOOK,5,1,5,U-NK SP Nat,UnMarked Nooksack Spr Natural
3409079,31,3,5,2,18.029802,2.492985,22.231556,21.844727,20.522787,1,1991,.Spr,1991.Spr,CHINOOK,5,1,5,U-NK SP Nat,UnMarked Nooksack Spr Natural
3409080,31,3,5,3,0,17.561027,18.029802,17.561027,17.561027,2,1991,.Sum,1991.Sum,CHINOOK,5,1,5,U-NK SP Nat,UnMarked Nooksack Spr Natural
3409081,31,3,5,4,-2.802162,0,3.467897,3.261211,-2.802162,3,1991,.Fall,1991.Fall,CHINOOK,5,1,5,U-NK SP Nat,UnMarked Nooksack Spr Natural
3409083,31,4,2,2,220.567795,0,242.861138,223.043669,220.567795,1,1991,.Spr,1991.Spr,CHINOOK,5,1,6,M-NK Sp Hat,Marked Nooksack Spr Hatchery
3409084,31,4,2,3,187.861235,2.14056,220.567795,194.121717,190.001795,2,1991,.Sum,1991.Sum,CHINOOK,5,1,6,M-NK Sp Hat,Marked Nooksack Spr Hatchery
3409085,31,4,2,4,232.586933,0,337.177854,250.287121,232.586933,3,1991,.Fall,1991.Fall,CHINOOK,5,1,6,M-NK Sp Hat,Marked Nooksack Spr Hatchery
3409087,31,4,3,2,124.316055,0.855044,147.653379,139.133779,125.171099,1,1991,.Spr,1991.Spr,CHINOOK,5,1,6,M-NK Sp Hat,Marked Nooksack Spr Hatchery
3409088,31,4,3,3,33.755623,17.241369,124.316055,113.711896,50.996992,2,1991,.Sum,1991.Sum,CHINOOK,5,1,6,M-NK Sp Hat,Marked Nooksack Spr Hatchery
3409089,31,4,3,4,128.546651,0,187.861235,152.580895,128.546651,3,1991,.Fall,1991.Fall,CHINOOK,5,1,6,M-NK Sp Hat,Marked Nooksack Spr Hatchery
